City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
423,Karratha,AU,85.01,-20.7377,116.8463,ibis Styles Karratha
427,Bentiu,SS,79.65,9.2333,29.8333,Mandela hôtel
429,Nabire,ID,76.96,-3.3667,135.4833,Hotel Nusantara Nabire
438,Meulaboh,ID,75.87,4.1363,96.1285,Kost Pria
439,Ourinhos,BR,81.88,-22.9789,-49.8706,Ville Park Hotel
443,Cap Malheureux,MU,77.49,-19.9842,57.6142,Pereybere Hotel & Spa
447,Bambous Virieux,MU,77.25,-20.3428,57.7575,Casa Tia Villa
448,Palu,ID,75.87,-0.8917,119.8707,Hotel Santika Palu
449,Atoyac,MX,81.01,20.0167,-103.5333,OYO Hotel Del Portal
452,Saint-Joseph,RE,75.56,-21.3667,55.6167,"""Plantation Bed and Breakfast"
453,Gizo Government Station,SB,83.37,-8.103,156.8419,Imagination Island
459,Olinda,BR,82.13,-8.0089,-34.8553,Hotel Albergue de Olinda
460,Ilesha,NG,75.2,7.1371,5.2583,Tosap Guest House
461,Jiwani,PK,75.96,25.05,61.7417,Al Mumtaz Transport Jiwani
462,Mlonggo,ID,78.69,-6.5333,110.7,Asia Metal Art
463,Takoradze,GH,80.89,4.8845,-1.7554,Raybow International Hotel
465,Kimbe,PG,77.95,-5.5502,150.1429,Kimbe Bay Hotel
477,Balabac,PH,77.92,7.9868,117.0645,Sing and Swing Lodge
478,Mahibadhoo,MV,82.13,3.7833,72.9667,Omadhoo Inn
479,Languyan,PH,78.85,5.2618,120.0807, 
481,Christchurch,NZ,77.0,-43.5333,172.6333,The George
483,Bara,NG,77.74,10.3744,10.7288, 
484,Port Blair,IN,78.93,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
493,Jesús María,AR,78.01,-30.9815,-64.0942,Posada Los Platanos
498,Port-Gentil,GA,80.35,-0.7193,8.7815,Fengshui Residence
501,Labuhan,ID,77.43,-6.8844,112.2051,PT PPI Lamongan Tambak C
507,Djenné,ML,79.57,13.9061,-4.5533,Hôtel Chez Baba
515,Carutapera,BR,78.51,-1.195,-46.02,Lidera
516,Kampot,KH,75.25,10.6167,104.1833,Two Moons Hotel
518,Ko Samui,TH,79.88,9.5357,99.9357,The Passage
522,Finschhafen,PG,80.82,-6.6024,147.8681,Cossam Guest House
525,Mumford,GH,81.1,5.2618,-0.759,Spanish Villa
530,Kalutara,LK,77.09,6.5831,79.9593,Tangerine Beach Hotel
532,Tucumã,BR,77.7,-0.1833,-50.05, 
533,Cuichapa,MX,77.38,18.7667,-96.8667,LA LAGUNA
537,Iporá,BR,77.74,-16.4419,-51.1178,Oásis Motel
541,Saint-Pierre,RE,76.64,-21.3393,55.4781,Lindsey Hôtel
544,Riberalta,BO,84.92,-10.9833,-66.1,Hotel Colonial
545,Tual,ID,81.75,-5.6667,132.75,Grand Vilia Hotel
548,Jacareacanga,BR,75.49,-6.2222,-57.7528,Casa do Ian😎
551,Calabozo,VE,88.93,8.9242,-67.4293,Hotel Giardini
552,Quatre Cocos,MU,77.09,-20.2078,57.7625,Sunrise Attitude Hotel
